Neighborhood,Art and History,Bank,Bar,Burgers - Quality,Chinese,Coffee/Breakfast,Construction & Landscaping,Fast Food,Fast Fresh,Food Court,Food Truck,Health & Recreation,Hotel,Ice Cream,Market,Pizza,Rental Car Location,Restaurant,Salad,Sandwich,Steakhouse,Store,Sushi Restaurant,Taco Place,Thai Restaurant,Theater,Transportation
Alcova Heights,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Arlington Forest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0
Arlington Heights,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Arlington View,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aurora Hills,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ballston,0,2,1,1,1,3,0,0,2,0,0,1,1,0,0,0,0,2,0,1,0,3,0,0,0,0,0
Barcroft,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,2,0,0,1
Bellevue Forest,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluemont,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bonair,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Village,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Buckingham,0,0,0,0,1,1,0,1,0,0,1,4,0,0,1,0,0,7,0,2,0,2,0,0,1,0,0
Carlin Springs,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Cherrydale,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,1,0,1,0,0,0,0,0
Claremont,0,1,0,0,1,1,0,3,0,0,0,4,0,1,1,1,0,2,0,1,0,3,0,0,0,0,0
Clarendon,0,0,8,1,1,9,0,0,1,0,0,13,0,1,1,1,0,17,1,0,0,5,0,0,0,0,0
Columbia Forest,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Columbia Heights,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Court House,0,2,6,2,1,8,0,0,1,0,5,9,3,0,3,2,0,6,1,7,0,9,2,0,2,0,0
Crescent Hills,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal City,0,2,1,1,0,5,0,1,1,0,5,6,7,1,2,1,2,5,1,6,2,3,1,0,1,1,0
Dominion Hills,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donaldson Run,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Park,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
East Falls Church,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Fairlington,0,2,0,0,0,2,0,1,1,0,0,6,0,0,3,0,0,0,0,1,0,7,2,0,0,0,0
Forest Hills,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Myer Heights,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Garden City,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0
Glencarlyn,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Green Valley,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Greenbrier,0,0,0,1,1,3,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,1,1,0,2,0,0
Halls Hill,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,4,0,0,0,3,0,0,1,0,0
High View Park,0,0,0,0,0,2,1,3,0,0,0,2,0,0,2,2,0,4,0,1,0,6,0,0,0,0,0
Jackson Court,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Heights,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
Lee Knolls,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon Park,0,0,1,0,1,2,0,0,1,0,1,5,0,0,2,2,0,4,0,0,0,3,0,1,0,0,0
Madison Manor,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maywood,0,0,0,1,1,3,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,6,0,0,0,0,0
Nauck,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
New Dover,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Glebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Penrose,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Pentagon,1,0,0,0,0,4,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2
Pentagon City,0,1,1,1,1,1,0,0,2,0,1,8,2,0,5,3,0,5,1,0,0,23,0,0,1,0,0
Prospect House,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Reagan National Airport,1,0,2,2,1,11,0,2,2,2,0,0,0,0,1,2,5,5,0,2,0,5,2,0,0,0,15
Rivercrest,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosslyn,0,0,2,0,0,7,0,0,4,0,0,4,3,0,0,1,0,2,2,6,0,0,0,1,0,0,0
Shirlington,0,0,4,1,0,2,0,1,1,0,0,10,1,1,2,1,1,7,0,1,1,4,0,0,1,1,1
Tara,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Square,1,2,3,1,0,14,0,0,1,2,4,15,2,0,4,1,0,6,2,2,1,6,1,0,1,0,0
Westmont,0,1,0,0,0,2,0,3,1,0,0,4,0,1,4,5,0,7,0,2,0,6,0,2,3,0,0
Westover,0,1,2,0,1,1,0,0,0,0,0,4,0,1,2,0,0,3,0,1,0,6,0,0,1,0,0
Williamsburg Village,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Woodlawn,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Yorktown,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
